id	idx	taskidx	option	temporal	status
245	7	3	SAT	HIGH	0
246	32	3	SAT	LOW	0
247	7	4	MIDSAT	HIGH	0
248	32	4	MIDSAT	LOW	0
249	7	5	SAT	HIGH	0
250	32	5	SAT	LOW	0
251	7	6	SAT	HIGH	0
252	32	6	SAT	LOW	0
253	7	7	MIDSAT	HIGH	0
254	32	7	MIDSAT	LOW	0
255	7	8	SAT	HIGH	0
256	32	8	SAT	LOW	0
257	7	9	HIDDEN	HIGH	0
258	32	9	HIDDEN	LOW	0
259	7	10	MIDSAT	HIGH	0
260	32	10	MIDSAT	LOW	0
261	7	11	HIDDEN	HIGH	0
262	32	11	HIDDEN	LOW	0
263	7	12	HIDDEN	HIGH	0
264	32	12	HIDDEN	LOW	0
265	7	13	UNSAT	HIGH	0
266	32	13	UNSAT	LOW	0
267	7	14	HIDDEN	HIGH	0
268	32	14	HIDDEN	LOW	0
269	7	15	MIDSAT	HIGH	0
270	32	15	MIDSAT	LOW	0
271	7	16	HIDDEN	HIGH	0
272	32	16	HIDDEN	LOW	0
273	7	17	UNSAT	HIGH	0
274	32	17	UNSAT	LOW	0
275	7	18	HIDDEN	HIGH	0
276	32	18	HIDDEN	LOW	0
277	7	19	HIDDEN	HIGH	0
278	32	19	HIDDEN	LOW	0
279	7	20	UNSAT	HIGH	0
280	32	20	UNSAT	LOW	0
281	8	1	SAT	HIGH	0
282	33	1	SAT	LOW	0
283	8	2	SAT	HIGH	0
284	33	2	SAT	LOW	0
285	8	3	MIDSAT	HIGH	0
286	33	3	MIDSAT	LOW	0
287	8	4	HIDDEN	HIGH	0
288	33	4	HIDDEN	LOW	0
289	8	5	HIDDEN	HIGH	0
290	33	5	HIDDEN	LOW	0
291	8	6	HIDDEN	HIGH	0
292	33	6	HIDDEN	LOW	0
293	8	7	SAT	HIGH	0
294	33	7	SAT	LOW	0
295	8	8	MIDSAT	HIGH	0
296	33	8	MIDSAT	LOW	0
297	8	9	HIDDEN	HIGH	0
298	33	9	HIDDEN	LOW	0
299	8	10	SAT	HIGH	0
300	33	10	SAT	LOW	0
301	8	11	UNSAT	HIGH	0
302	33	11	UNSAT	LOW	0
303	8	12	HIDDEN	HIGH	0
304	33	12	HIDDEN	LOW	0
305	8	13	HIDDEN	HIGH	0
306	33	13	HIDDEN	LOW	0
307	8	14	UNSAT	HIGH	0
308	33	14	UNSAT	LOW	0
309	8	15	UNSAT	HIGH	0
310	33	15	UNSAT	LOW	0
311	8	16	HIDDEN	HIGH	0
312	33	16	HIDDEN	LOW	0
